route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
01044,BGPREVOZ,44a,Topčideresko brdo /Senjak/ - Luka Beograd - Viline vode - ŽS Dunav Stanica,3,,0098da,ffffff,0,,
00042,BGPREVOZ,42,Slavija /Birčanova/ - Banjica /VMA/ - Petlovo brdo,3,,0098DA,FFFFFF,0,,
00048,BGPREVOZ,48,Železnička stanica Pančevački most - Miljakovac 3,3,,0098DA,FFFFFF,0,,
00053,BGPREVOZ,53,Zeleni Venac - Vidikovac,3,,0098DA,FFFFFF,0,,
00312,BGPREVOZ,312,MZ Veliki mokri lug - Kumodraž - MZ Veliki mokri lug,3,,0098DA,FFFFFF,0,,
00403,BGPREVOZ,403,Voždovac - Zuce,3,,0098DA,FFFFFF,0,,
00066,BGPREVOZ,66,Vukov spomenik - Naučno Tehnološki park Zvezdara,3,,0098DA,FFFFFF,0,,
00310,BGPREVOZ,310,Šumice - Mali mokri lug,3,,0098DA,FFFFFF,0,,
00311,BGPREVOZ,311,Ustanička - Leštane /Ravan/,3,,0098DA,FFFFFF,0,,
10405,BGPREVOZ,405L,Glumčevo brdo - Nenadovac - Karalula - Barajevo - Karaula - Glumčevo brdo,3,,0098da,ffffff,0,,
00506,BGPREVOZ,506,Miljakovac 1 - Resnik /Edvarda Griga/ - Resnik /Patin Majdan/,3,,0098DA,FFFFFF,0,,
00507,BGPREVOZ,507,Kneževac - Rušanj /Drobnjački kraj/,3,,0098DA,FFFFFF,0,,
00513,BGPREVOZ,513,Sremčica /Naselje gorica/ - Velika Moštanica /Živojina Tabakovića/,3,,0098DA,FFFFFF,0,,
00715,BGPREVOZ,522,Novi Železnik - Milorada Ćirića - Novi Železnik,3,,0098DA,FFFFFF,0,,
00047,BGPREVOZ,47,Slavija /Birčanova/ - Resnik /Železnička stanica/,3,,0098DA,FFFFFF,0,,
00030,BGPREVOZ,30,Birčaninova - Medaković 2,3,,0098DA,FFFFFF,0,,
00079,BGPREVOZ,79,Dorćol /SRC Milan Gale Muškatirović/ - Mirijevo 4,3,,0098DA,FFFFFF,0,,
00307,BGPREVOZ,307,Ustanička - Vinča,3,,0098DA,FFFFFF,0,,
00308,BGPREVOZ,308,Šumice - Veliki Mokri lug,3,,0098DA,FFFFFF,0,,
00309,BGPREVOZ,309,Zvezdara /Pijaca/ - Kaluđerica,3,,0098DA,FFFFFF,0,,
00092,BGPREVOZ,92,Beograd na vodi - Ostružnica /Karaula/,3,,0098DA,FFFFFF,0,,
00502,BGPREVOZ,502,Miljakovac 1 - Orlovača /Groblje/,3,,0098DA,FFFFFF,0,,
00503,BGPREVOZ,503,Voždovac - Resnik /Železnička Stanica/,3,,0098DA,FFFFFF,0,,
00512,BGPREVOZ,512,Banovo Brdo - Sremčica /Naselje Gorica/,3,,0098DA,FFFFFF,0,,
00533,BGPREVOZ,533,Banovo Brdo - Orlovača /Groblje/,3,,0098DA,FFFFFF,0,,
00534,BGPREVOZ,534,Cerak Vinogradi - Ripanj /groblje/,3,,0098DA,FFFFFF,0,,
00553,BGPREVOZ,553,Beograd na vodi - Rucka,3,,0098DA,FFFFFF,0,,
00504,BGPREVOZ,504,Vidikovac - Resnik /Železnička Stanica/,3,,0098DA,FFFFFF,0,,
00052,BGPREVOZ,52,Zeleni Venac - Cerak Vinogradi,3,,0098DA,FFFFFF,0,,
00091,BGPREVOZ,91,Beograd na vodi - Ostružnica /Novo Naselje/,3,,0098DA,FFFFFF,0,,
01091,BGPREVOZ,91a,Ostružnica /česma/ - Ostružnica /Novo naselje/ - Beograd na vodi,3,,0098da,ffffff,0,,
00521,BGPREVOZ,521,Vidikovac - Železnik /Taraiš/,3,,0098DA,FFFFFF,0,,
01521,BGPREVOZ,521a,Vidikovac - Bora Kečić - Železnik /Taraiš/,3,,0098da,ffffff,0,,
00531,BGPREVOZ,531,Banovo Brdo - Rušanj /13. septembra/,3,,0098DA,FFFFFF,0,,
01531,BGPREVOZ,531a,Banovo brdo - Orlovača /Groblje/ - Rušanj /13. septembar/,3,,0098da,ffffff,0,,
00532,BGPREVOZ,532,Banovo Brdo - Rušanj /Oslobođenja/,3,,0098DA,FFFFFF,0,,
01532,BGPREVOZ,532a,Banovo brdo - Rušanj /Oslobođenja/,3,,0098da,ffffff,0,,
00040,BGPREVOZ,40,Zvezdara - Banjica 2,11,,F58634,FFFFFF,0,,
00024,BGPREVOZ,24,Dorćol /SRC Milan Gale Muškatirović/ - Neimar,3,,0098DA,FFFFFF,0,,
10505,BGPREVOZ,505,Miljakovac 1 - Miljakovačke livade,3,,0098DA,FFFFFF,0,,
00036,BGPREVOZ,36,Železnička stanica Beograd Centar - Trg Slavija - Železnička stanica Beograd Centar,3,,0098DA,FFFFFF,0,,
01020,BGPREVOZ,102P,Padinska skela - Preliv,3,,0098da,ffffff,0,,
00612,BGPREVOZ,612,Novi Beograd /Paviljoni/ - Kvantaška pijaca - Nova Galenika,3,,0098DA,FFFFFF,0,,
00703,BGPREVOZ,703,Zemun /Kej oslobođenja/ - Batajnica /Železnička stanica/ - Ugrinovci,3,,0098DA,FFFFFF,0,,
00057,BGPREVOZ,57,Banovo Brdo - Naselje GOLF - Banovo Brdo,3,,0098DA,FFFFFF,0,,
00059,BGPREVOZ,59,Slavija /Birčanova/ - Petlovo brdo,3,,0098DA,FFFFFF,0,,
00551,BGPREVOZ,551,Beograd na vodi - Sremčica,3,,0098DA,FFFFFF,0,,
00511,BGPREVOZ,511,Beograd na vodi - Sremčica,3,,0098DA,FFFFFF,0,,
00013,BGPREVOZ,13,Banovo brdo - Blok 45,0,,ed3237,ffffff,0,,
00102,BGPREVOZ,102,Padinska skela - Vrbovski /Široka greda/,3,,0098DA,FFFFFF,0,,
01102,BGPREVOZ,102a,Vrbovski - Padinska skela,3,,0098da,ffffff,0,,
00046,BGPREVOZ,46,Beograd na vodi - Mirijevo,3,,0098DA,FFFFFF,0,,
00088,BGPREVOZ,88,Zemun /Kej Oslobođenja/ - Novi Železnik,3,,0098DA,FFFFFF,0,,
10027,BGPREVOZ,27E,Novi Beograd /Blok 20/ - Mirijevo 4,3,,0098DA,FFFFFF,0,,
50601,BGPREVOZ,601N,Trg Slavija - Dobanovci,3,,3E4095,FFFFFF,0,,
51601,BGPREVOZ,601Na,GO Novi Beograd - Surčin,3,,3E4095,FFFFFF,0,,
00005,BGPREVOZ,5,Kalemegdan /Donji grad/ - Ustanička,0,,ED3237,FFFFFF,0,,
11007,BGPREVOZ,7L,Ustanička - Blok 45,0,,ed3237,ffffff,0,,
12009,BGPREVOZ,9L,Banjica - Blok 45,0,,ed3237,ffffff,0,,
00010,BGPREVOZ,10,Kalemegdan /Donji grad/ - Banjica,0,,ED3237,FFFFFF,0,,
00011,BGPREVOZ,11,Kalemegdan /Donji grad/ - Blok 45,0,,ED3237,FFFFFF,0,,
50027,BGPREVOZ,27N,Trg Republike - Mirijevo 3,3,,3E4095,FFFFFF,0,,
50051,BGPREVOZ,51N,Trg Republike - Bele Vode,3,,3E4095,FFFFFF,0,,
50101,BGPREVOZ,101N,Trg Republike - Padinska Skela,3,,3E4095,FFFFFF,0,,
51101,BGPREVOZ,101Na,Trg Republike - Padinska Skela,3,,3E4095,FFFFFF,0,,
52101,BGPREVOZ,101Nb,Trg Republike - Borča 3,3,,3E4095,FFFFFF,0,,
50304,BGPREVOZ,304N,Trg Republike - Ritopek,3,,3E4095,FFFFFF,0,,
00058,BGPREVOZ,58,Pančevački most /Železnička stanica/ - Novi Železnik,3,,0098DA,FFFFFF,0,,
00020,BGPREVOZ,20,Mirijevo 3 - Medaković 3,3,,0098da,ffffff,0,,
00028,BGPREVOZ,28,Studentski Trg - Zvezdara,11,,F58634,FFFFFF,0,,
50029,BGPREVOZ,29N,Studentski Trg - Medaković 3,3,,3E4095,FFFFFF,0,,
00031,BGPREVOZ,31,Studentski trg - Konjarnik,3,,0098DA,FFFFFF,0,,
50031,BGPREVOZ,31N,Studentski Trg - Konjarnik,3,,3E4095,FFFFFF,0,,
00041,BGPREVOZ,41,Studentski Trg - Banjica 2,11,,F58634,FFFFFF,0,,
40102,BGPREVOZ,EKO2,Dorćol /SRC Milan Gale Muškatirović/ - Beograd na vodi,3,,0098DA,ffffff,0,,
00026,BGPREVOZ,26,Dorćol /Dunavska/ - Braće Jerković,3,,0098DA,FFFFFF,0,,
00037,BGPREVOZ,37,Pančevački most /Železnička stanica/ - Kneževac,3,,0098DA,FFFFFF,0,,
00302,BGPREVOZ,302,Ustanička - Begaljica,3,,0098DA,FFFFFF,0,,
01302,BGPREVOZ,302a,Ustanička - Zaklopača - Begaljica,3,,0098da,ffffff,0,,
02302,BGPREVOZ,302b,Ustanička - Boleč - Begaljica,3,,0098da,ffffff,0,,
00303,BGPREVOZ,303,Ustanička - Zaklopača - Vrčin,3,,0098DA,FFFFFF,0,,
00304,BGPREVOZ,304,Ustanička - Ritopek,3,,0098DA,FFFFFF,0,,
00305,BGPREVOZ,305,Ustanička - Boleč,3,,0098DA,FFFFFF,0,,
01305,BGPREVOZ,305a,Boleč - Ritopek - Ustanička,3,,0098da,ffffff,0,,
00032,BGPREVOZ,32,Vukov spomenik - Višnjica,3,,0098DA,FFFFFF,0,,
00084,BGPREVOZ,84,Nova Galenika -Zeleni venac - Nova Galenika,3,,0098da,ffffff,0,,
00060,BGPREVOZ,60,Zeleni Venac - Novi Beograd /Toplana/,3,,0098DA,FFFFFF,0,,
20060,BGPREVOZ,60L,Zeleni Venac - Novi Beograd /Toplana/,3,,0098DA,FFFFFF,0,,
00067,BGPREVOZ,67,Novi Beograd (Blok 70A) - Zeleni venac - Novi Beograd (Blok 70A),3,,0098da,ffffff,0,,
